reviewTitle,reviewBody
Solid case,This is a very well made case. It feels tough enough to withstand accidental drops but not too rugged to comfortably hold . I love that they give you additional glass screen protectors and rear camera protector.
Almost perfect but needs a hanging hook,This is such a great teaching tool. It is perfect in every way except that it needs a hook for hanging. Seems like you can only hang it on a nail.
Great fit but hot,Hot fabric but great fit
Control you garage with your phone!,"Great WiFi controller so far. Super easy install. Lots of provided options for install but I only needed a few screws. Works great so far, will probably buy another one for the main garage."
Poor mounting rubber.,Fell apart on the first ride!!!
Well made,Fit perfectly. Nice feel to the material.
Size down if you want a snug fit,"I’m 5’2, 125lb and wear a size 2, about a 27in waist. I usually get a medium in tight workout shorts but they swallowed me. I exchanged for a small and it was much better but I think the XS would fit me perfectly. If you like a more snug fit, definitely size down. Now that I have the right size I really like these and will be ordering more. Buttery soft, comfortable and super high waisted."
I wanted denim and it wasn’t,Fit fine but wasn’t what I thought. I thought it was denim and it’s not
Nice phone case at good price,Nice product at fair price
Good size and price,Liked the design  size and price. Have not had it long enough to have tovclean it
It is very very quiet,This machine is so quiet I love that about it. It is also compact so didn’t take a lot of room in my night stand. I also like the blue it makes it look refreshing. A very nice mist comes out and feels clean.
Amazing!,This was amazing!
Simmer up and down perfectly,"Very compact and lightweight. Sturdy construction. Work flawless. Replacement parts (rubber seals, etc) are easy available."
Measure so you get the right size,This would be great as far as comfort if I got the right size
Highly recommend!,"Easy built, really sturdy, bang for your buck!"
"Great Product, terrible handling !","I buy this product from Amazon on a regular basis and really enjoy it.  This time around, when I opened the the plastic package, this is what I found.  The box was torn apart and worse, a number of chocolate bars were cracked or broken to pieces.  I understand, Amazon has little or no control of products after shipment, but I just had to vent this time.  Sorry Amazon !  Erik M."
Best purchase ever,"I bought this for my ceramics/pottery class so I could have more tools to work with and I absolutely don’t regret it! I only had one tool break with me using them everyday for the whole year. It was my fault though because I probably wasn’t using it the way it was intended for, but oh well."
Great product,The fan puts put an excellent stream of air and is nice and quiet. Very easy to assemble. I love it! Highy recommended.
"wow, so good","I've used other toys of this type, but this one is the best by far. The rotating and movement feels fantastic, and the moan sounds are very helpful. i love the different modes and the charge lasts over several uses, so you can use it a lot before you need to charge it again, provided you clean it between uses."
Nice product,"Well executed brass construction, Quality product."
not all there,i will never order from you again i was suppose to get a small bowl and a spoon with the steamer but all i got was the steamer will never order from you again
Not worth it,Not crazy about this model/brand. I’ve bought 5 different ones now seeking a good one and this one is hard to keep the attachments on and they fall off while using.
So cute,"Super cute and fluffy. Got these for my daughter and she loves them! They are a bit big for her but that’s fine, since the design goes around your whole foot no need for it to fit."
Small and works well,"Love the small size, the light. Purchased a different one as well as this to have a less expensive vacuum on my second floor. So far so good. Like that is small, has a mount, adjustable as well. Hopefully will last."
Investment,Exactly as described
"Tough plastic, durable.","Have used twice to transport a mattress, once strapped tightly on top of my Forester. Still in good shape for next move."
BROKEN x2,"How disappointing. I liked the style of these, easy order, quick shipping, but they dishes arrived damaged. I quickly returned, nice and easy, only to receive a 2nd set chipped/damaged. Returned again. Unacceptable."
Good,Great product at a great price. Buy it and you’ll be glad you did! Makes a great gift too.
Beautiful!!,I absolutely love this snow globe.  It comes on automatically each evening and works perfectly.  Just love it.
Poor shipping guidelines,"Other than the fact that one of the nightgowns was literally: thrown into the bag it was shipped as it was extremely wrinkled, item was fine."
Great selection of colors.,The bands are colorful and a little stiff.  Improve with wear and time (flexibility of the bands).
Beautiful,These are very beautiful in the garden
easy to install and cheap price~,It got the right amount of padding on it and lightweight. Spent me only 5 mins to install. I'm happy with the purchase!
Durable and fun.,This product is exactly as expected. My grandson loves Imaginext and I was happy to add to his collection. It is easy to play with and fun.
my daughter loves it!,just as described and expected. faster than expected shipping.
i just love it so muchs,good for your money
Cable is Very Thick,"Does the jo.  I should have considered the dimensions a bit more carefully.  The cable is rather unwieldy.  But if you need it to stay in place, this might be the one for you."
Received scuffed shoes,Shoes have been worn
Still eats poo,I have 3 rescue dogs 15 to 25 pounds and give them two  per day but still can't get 2 of them to stop eating poo. They love these no poo treats but still eat most of the poo. I have tried other brands and two jars of this brand but will not be buying any more.
Face is smooth & is clearing,I use my steamer at least twice a week & I see a noticeable difference. Highly recommended.
doesn't work,"stopped working after 5 days, I don't have time to return it, I bought an other brand"
Good robe fits a bit smaller than expected,I purchased two robes of similar style in the same size and one was a tad too small and one a tad too big.  Its probably due to  the of the overseas manufacturing (China?)
Great cream,"I just love this cream. It works 100% on any cut, scratch, bruise. It’s truly a good antibiotic. It covers wounds and cuts in a short period of time. It is my first choice over the counter. Thank you for delivering this cream so fast. Thank you."
Extremely comfortable,"Most comfortable undies I have worn in ages.  Doesn’t ride up, doesn’t bind., plenty  of crotch space. Lots of flattering colors too."
Awesome,Great purchase
Good,Good
"It protects my phone, is easy to grip, and it doesn't fade.",I've had this case for 3 months and it still looks new and has protected my phone from a few unexpected DROPS to the ground. I love the purple and it wipes clean with just a damp cloth. If I ever get tired of this color I will definetly order another one of the many colors it comes in.
I love this.,So soft and perfect thickness
Great!,Exactly what I expected.  This will be super handy for my art projects.
Easy to use,My kids are liking it very much. This is very large inflatable pool. Very easy to use and good quality of it.  It takes a few seconds to inflate.
Good,Great product
Good size for an iPad,Perfect size for an iPad and a few other things.
Product was delivered on time but didn't come with the Rechargeable battery.,Product would probably work fine I had to go buy AA batteries because the Rechargeable battery didn't come with the product but the charging cable did.
N/,N/A
Not so good,It doesn’t even kill the bugs.  I had to spray everyday for more then one week to get rid from Cockroaches
Good not great,"The look is cute and it is fairly comfortable,  but the watch face is a bit too heavy for it to feel secure.  I am constantly fighting to keep it in place on my wrist."
Nice light weight men’s flannel robe,"Purchased for my Dad and he loves it- soft, light weight flannel that is nice and warm"
Best jacket,"This is my favorite jacket this far,  stylish and actually warm"
"great size, not too big or too little","Love that it is two tone gold and silver, it is a great size, too. I have a small face and some of the coins are just too big  by the time you add a decent frame."
IMPRESSED,"I was skeptical about buying something like this from Amazon, but I am highly highly impressed with this product!! It is so easy to use and is great quality!! I have done my finger nails, toenails, and have done my sisters as well!! I would recommend this to anyone who wants to save the money and do their own nails from home, you won’t regret it!"
easy,it was easy to use
Too much spring.,"It’s too difficult to have good control over the pups, as there’s too much give on both leash sections."
Perfect from the box.,Easy setup out of the box. I am not a drone expert at all and was able to fly in 10 min.
Lots of fun for kids,So many stickers  :) they help me to keep may little girls busy when i needed:)
For beginners,For beginners
Yes,Yes
"It will keep your pants up. That's what you want, right?","Love that it's cut-to-fit. Very sturdy, and keeps my pants up when I'm carrying. That's the important part. And I have a chronic case of noassatall. Can carry a P80 in a belt loop OWB kydex without flashing a vertical smile. Very metal. ????"
Great product and great customer service,Bought the wrong size but they sent me the right one quickly. Vivid color on the collar and it seems durable. Thank you!
Very comfortable,"I really liked the product true to size very comfortable, worth of price better than paying $60 This product is worth off $100 , recommend"
Perfect compact wallet,Awesome design!
"Sorry, not nearly as good as advertised.","I would have returned it, if it hadn't been so inexpensive, and I destroyed packaging too soon."
My puppy chews everything but this,Maybe this bone is great for some dogs but my teething puppy never picked this up.
Very small,Very small
Great looking and comfortable too,"The socks are made well, fit perfect and look good. Just the right amount of elastic so the don’t fall down yet not bind."
It’s okay,"It’s not thick enough, everything popped when cooked"
Loo,Little smaller than i thought.
Lightweight,So worth to buy it with my bike.
Very confortable.,"This is by far the best muzzle I’ve ever try on my dog. She was able to drink water while using it, and I was able to to even gave her treats with the muzzle on for training."
Do NOT buy this controller,This controller was only used TWICE in short sessions before we realized the LB button didn't work. Over $100 wasted on this trash defective controller.
Not for children under 6,I would not recommend for children under 6. I purchased this for my nephew and the food pieces are to small.
Cute and the right size,SO cute and don’t make my ears itch. Weren’t hard to get in.
Broke n cheap,Arrived broken.
Great!!!,Got the timer for work because we needed something that wouldn’t just fall off the oven and this timer is perfect. I wish it were a little louder but it does the job for sure.
GREAT FIT,These fit perfect in my ford ranger. The color was exactly as described and easy to put on.
High hopes,It was fine until the top broke and I was able to spray at all. Only hot a few uses out if it. Never had that happen to me before.
Super cool for a month,"I loved this product for the first few weeks, it gradually got dimmer every time it turned on. It’s barely on now"
Great Soap Dispenser,"I love this soap dispenser.  It makes washing hands so much more sanitary and safe. It is easy to use and refill, an all around great product."
Love this blanket,I like everything about this blanket
Wrong size,Was sent the wrong size
Unexpected,"This ramen was absolutely DELICIOUS!! The spice is definitely there, but I’m sorry in my opinion it was NOT the spiciest ramen in the world. BUT the flavor is the best taste you will have! My god it is so good. I wish I took pictures, but when I thought of it, the bowl was already gone. Would definitely recommend this to anyone. Still a great experience,  but everyone is different so if you’re not into spicy then you should still be cautious because of some people this will be VERY spicy. Enjoy!"
Precio y calidad,"Muy económico y práctico. Me adelanta el trabajo, pues siempre tengo un reemplazo con el cable."
"These are all off, none of the butterflies are cut right",15 bucks and a container of garbage bad cuts that look like junk and it says not returnable. Trash they are just trash
Comfy,So soft and comfy
Awesome,Amazing hands down
overpriced,"overpriced, cannot believe I paid almost 7 dollars fro 2 oz of seed.  1 1/2 meager pickings and had to pull them up."
"Excellent Steam Mop, Easy to Use","We bought this mop after something oil based got on our tiled kitchen floor while we were moving and we were having trouble cleaning it. We found this steam mop, ordered it & it arrived quickly and did the trick. The floor looked great & it did not take a lot of time. It is lightweight & very easy to use.  Compact, so uses minimal storage space. We were very pleased with the job it did & thrilled it reduced the time we spent getting our house ready to sell. I would definitely recommend this product."
Just like my old magpul,Great quality. I'm a long time user of magpul cases and this one is identical.
Love it,Works great with my echo show 8
Fit and comfort,I returned these. They were too big and they just were stiff and not comfortable.
OMG GET JT NOW,I WAS NERVOUS ABOUT THE SWEATER TURNING OUT TO BE LOW QUALITY BUT ITS WAY BETTER THEN THOSE $50 SWEATERS AT TRAGET! ITS SO COMFY AND SOFT AND LIGHT! IM 5’7 AND I GOT A TIMES LARGE SWEATER! AGAIN $15 FOR THIS CHEAP SWEATER THATS SO GOOD QUALITY OMG I DEFR RECOMMEND. And that wasn’t first fast typing response
Size is just right,Great little leash for my little ????
Great product,Used for covering thanksgiving turkey.  It worked great.
grinder foot switch,instant off & on
X-cell ant!,Great figures!
Pet pleasing,My kitty purrs when you use it!
My cat LOVES this!,"My cats LOVE chasing the little chopper discs!  So much fun!  And if they bring them back to you like one of mine does, you don't even have to get up, the fun continues!"
It’s a really good temporary PPF,It was my first time trying track armour on my car and it was a lot easier to deal with than masking tape. Tape is thick enough where i dont need to add a second layer. Really worked well for me after 1 full trackday. Taking the tape off was as easy as removing plastic coverings on a brand new stuff.
This is my second and pleased,Needed a extra one. Highly recommended.
Great Purchase,It is Very sturdy
Beautiful,This is a cute little clear decorative case that I bought for my new Iphone 12 Pro Max.
No scent is a good scent ��,I appreciate the natural scent of the ingredients instead of masking them with something unappealing. It didn’t work for what I was hoping for but that’s unrealistic and overall it’s a good product.
Colors,The reviews are great and the colors people have bought look greats I do not recommend the green as you can see the sleeve is way way darker and doesn’t look right. I tried it on hoping it would look better but nope. Going to return and maybe try a different color.
Multi use,Okay haven’t actually used it... for its intended purpose. I just like bouncing on it while watching TV at the moment.  It’s actually a good physical therapy tool? But great quality. Love it. Thanks!
DISAPPOINTED. Hot to hold and cracked after 3 months,"The feel and look of this is great and I wanted to love it. I bought for my husband for Christmas and he doesn’t use it because it’s so hot to hold, which also means it’s not keeping in the heat. It says it’s dishwasher safe but I never put it in the dishwasher and after 3 months the inside cracked."
missing items and broken package,The box itself came completely demolished and there was only one sword in it. The sword itself was fine but I can't cosplay with just one of them
Perfect funny mug!,"Love this mug! This made my son laugh when I gave it to him, kids have less social lives now so gives them a chuckle! Great quality and perfect for tea for my college boy!"
Newborn,This is a cute outfit and he looked handsome
Works as expected,Works as expected. Excellent warmth And comfort
The carbon fiber is a sticker!,The carbon fiber Lexus license plate covers sold by Tuesnut are very cheap and the carbon fiber is a sticker that peels off almost immediately.  Once it owes off you are left with a blank metal cover.  Total garbage.
Don’t waste your money,Garbage returned it ....never worked
Product works great for my grand puppies,Love the product just wish they sold larger bottle .
Sturdiness,The size of the dinner plate is generous. .
Great!,These are great!
Quality chairs,We are very happy with these chairs. Easy to put together. They seem like they are made well and  good quality.
Great price and perfect color for me.,I appreciate being able to buy an Estee Lauder product in a small size for two reasons - I can try it out without spending a fortune - It fits nicely in my makeup bag in my small purse. I have purchased this small one twice. I even bought one for my niece. Thanks
Nice design... durable and versatile,Well sized. Strong construction. Larger one can be used for crafting with tongue depresser sticks and scissors fitting nicely.
Product NOT perfect,Quick delivery.  The electronic switch works as it should. The spring catch of the body is misaligned causing the door to pop open and stop the wash cycle.  Be cautious with this distributor.
"Sturdy, easy to assemble potty chair",I bought this for my 3 year old. She was so excited to get to use the big potty. The chair is very easy to assemble and very sturdy. I am pleased with the seat cushion it is soft and not hard plastic. My daughter loves that their are handles for her to hold to feel more comfortable. I definitely recommend for any parent potty training their little one/ones.
Great Scent,The scent was great!
Vibrant colors.,I've used them for outdoor cushion seats. Added a lot of spark to my garden.
Great product,The ability to charge my phone while on the stand.
Spend more money,Three are off from the other's. None are the same and one wouldn't even come on. Of course
Nice,Not as shiny as it looks on website. But it has a nice vintage look. Looks like it cost way more than it does. (Ignore the blue ting in my photo it is reflecting something in the room.)
Swims like a motorboat,My Arthritic dog spends more time floating and chasing balls. I don't have to worry. Fit is fab and easily adjustable.
"Great compression sleeves, for winter","I use them as compression sleeves after my vein procedure. They are great for that purpose. Thick, elastic, comfortable, and good looking design patterns. Don’t think they’ll stay on if you are running or doing other exercises. They are too thick for summer but great for winter."
Great product,Look forward to using this product  has a great scent! Will be posting a follow up very soon!
Good magnet product as described,Good magnet product as described
Excellent affordable rangefinder watch,Easy to use and has only the features I want to use.  I highly recommend.
Best Sheets Ever,Been sleeping on them for a few months and they get softer after every wash. Cannot imagine buying any other brand again.
Rip off it says height 7 inches barely 3 inches very unhappy,Wow this is a rip-off it said seven inches barely 3 inches it's so tiny you can't even use it for display very unhappy with this purchase not worth the value and not worth gifting
Price,"Great product, awesome price. Purchased another set for my daughter."
So bright,It's ok ????
Check rear mount alignment before you scratch your fender,"It is a simple install, but I had to bend the rear mount to match the contour of the fender, which in turn cracked the paint. For $20, it will hold my bag from rubbing in my fender. It’s worth the money"
Finally Clean Glasses!,"Great product and great value. Cleans well, doesn't streak, and has no scent. And the cleaning clothes that are included are great also."
Great buy !,"Hair Quality is great , little to no shedding . I’ve had it for 2 months and wear it literally everyday . I got 20 inch because 24 was sold out but I will be buying it . The 20 inch length is good but I would prefer longer . It’s kinda thin but looks natural"
Easy,Easy Assembly
The update ruined the utilization,"We love the fire stick but with the recent update to the new format has ruined the ease of finding what you use. Having tiny icons of your most used apps is worthless. It now looks like our Samsung tv menu, which we hated, which it why we installed the fire stick. Super annoyed!"
Wouldn’t buy again,A little small no padding
Book shelf,Love the color of shelves super cute fits mini or small books only
Good,Good
If you want control of light this is it,Small precise hair light
Read This First,"This little lamp is beautiful. The only reason I'm removing a star is because the directions are incomplete and unclear, which led to frustration and wasted time. (You must tap the electrical port to change the brightness and color, after it has charged.) This will make a great gift for a hard-to-buy-for relative."
"Not too thick, not too thin",Like the colors and they are the right thickness to get my shoes on.
Ecco are great shoes,I used to wear Cole Haan shoes but about 6 years ago they stopped making the nike airs so I bought a pair of Ecco . So much better quality shoes the leather is thicker . The shoes are more comfortable . I have bought 3 pair since and all 4 pair are still holding up great and I walk over 10k steps a day .
Finally ... relief!,Extremely happy with this. Just the right amount of support for me. I bought two more!
A must have.,I use it for much more than celery and it's great. I bought it because of Medical Medium :)
Great for price,Great socks
0,No
5/10 Stability and 3/10 for Fishing,"I don’t believe this product should be advertised as a fishing kayak, as shown in the photographs provided. The stability of this kayak is also less than I expected when trying to fish off the side of it. Despite this the kayak does seem durable, fits in the trunk of a coupé with room to spare, was shipped quickly and with all the advertised pieces. Just aware that the warranty is not active for amazon purchases. I’ve decided to purchase the 285FPB from their official website, as it was advertised as strictly a fishing device."
They save time and wasted potatoes,Peel potatoes
Good system,It’s a great system. Plays well. And the graphics are amazing. It’s a PlayStation. It sells itself
works great - great color,love these colors - need to find larger bottles!!!
Worked great for road trip,It was easy to install and worked great for the family road trip.
Olive Oil?,This product is just olive oil with calendula flowers added. Who knows how much calendula
Stick with what you know.,The blade doesn't cut well at all. It is not smooth and vibrates I had to take it off the saw after a few cuts. I have 4 other saws and have used these type of saws for years that is concrete / demo saws.
Cute Cute Cute,Very Cute!  Fast shipping
Artfully crafted cobalt drinking glasses,"I am thrilled with my purchase! Perfect size, thickness, weight, and beautiful cobalt color. I for sure will order more from NOVICA. Definitely worth the wait, all the way from Mexico! Quality shipping packaging."
Good quality,"True to fit for the most part, the hip area of the pants are a little big on me but i love the color and quality"
Awesome for book shelves & tea shelf,Small but very strong and sturdy. I know they’ll hold up these bookshelves perfectly.
Great product.  Holds our 100+ pound part "sled dog" back,Product works great.  Freed my hands when I'm hiking so I can use my hiking poles.
Bit by rip-off shark,"poor craftsmanship, amateur paint, non-realistic characterization, not fit for a 2-year old or older."
Super easy.,Everything you need for an oil change except an oil filter wrench
Best cup warmer ever,So far everything is great!
Not breathable,"I suppose I should have been more suspicious about a mattress cover that claimed to be both breathable and water-proof. The inside of it is lined with some sort of plastic or rubber, which may be waterproof, but is not breathable. You can test this yourself, put it against your lips and blow. No air passes through. There's a softer fabric over the top, but that's not going to provide any sort of air flow. If you have a mattress that's supposed to be breathable or have a cooling effect, a sheet of plastic between you and it pretty much nullifies the effect."
Good,Working
Nice Product,Worth it.. because of nice features like monitoring energy.. I am using for morning breakfast egg boiler.. scheduling is super nice. very happy with purchase
Love it,My kids love it. It helps them organize their dolls and accessories
Loooooves it!,Gave as a Christmas gift and the giftee can’t stop praising it. The pic is clear and the size is huge.
Es hermoso!!!,"Leí los comentarios y note que las tallas no eran exactas, fui precavida y compré una talla menos, le va quedar perfecto!!! Es hermoso, excelente calidad �"
colors don't match,Seems too thick and doesn't match skin.  The colors look different than shown and very hard to find one to match skin.
They fit.,"The undies are soft, stretchy and comfortable."
Works well,"this works great, very slim design and intuitive. All charging ports/stations work well, I like that you can just use the single charging station for the phone and separate the iWatch and AirPod. Perfect for office or in home."
Hurry up to purchase!,Best phone of 2020
Bad,Did not last after first wash
The best stylus I’ve ever purchased.,"This stylus is the best stylus I’ve ever purchased. The fiber tip is soft and easy to use. The clear disk tip—well i didn’t think at first it would work as well as a regular point rip, but it does and even better then my other tip stylus’s."
Most comfortable pillows for the price,Had these for 2 months and they're still very comfortable.  I really like them. For me these are the  best pillows to sleep on.
Sharp sturdy knife set,"Seemingly great set of knives, comfortable in your hand, extremely sharp."
Just what I needed,Perfect for home and travel.
good value,does what its supposed to do
Great robot vacuum for a great price,Great vacuum for a great price. This is the first robot vacuum we have purchased. It is simple to operate and is great for picking up the daily dust and and hair they the week to keep things looking good and has helped cut back on use of our upright corded vacuum.
Superb Quality,Fits exactly how I imagined. Quality of material is amazing and soft. Will definitely purchase again
good  product,great price
Don’t work.,These doesn’t work. Don’t stick to face nor does it do anything to the bumps. Also isn’t sheer and you can tell their on your face.
Fast shipping,Came pretty fast good quality filter
Very short draw string,"While I do like the pattern, they are on the smaller side and the draw string is way to short. I ordered a XXL and the string to tighten the shorts should of been 59"" for that size. As it was, I measured mine at 55"" and couldn't even tie a bow this when you put the shorts on, the string pulls inside the string hole this making it very difficult to pull back out. That's a key component this why I knocked 3 stars off. Had to buy 2 64"" draw strings at $12 just to be able to tie an appropriate not so pants stay up."
Good value,Cost Effective and good quality.
Worth the Money,This vacuum is excellent and very lite and easy to use.  The product is well designed. My wife loves your vacuum. I will never repurchase another expensive vacuum.
"Sturdy, great quality, easy to use!",It really works for spinal decompression. My chiropractor has it in his office and lets me use it after my therapy session. I watch the cooking shows or news while inverted!  Ie love it so much that I ended buying one for my house! I use it before and after martial arts class and it helps to open up your chest and expand your lungs.  Very helpful
Beautiful and high quality shelves!,"Easy to install, easy instructions. Quick delivery. BEAUTIFUL shelves, Love them! The wood is very pretty and the quality is superb."
Mini Air Cooler,"This small fan is good for your personal space like your desk or next to your bed. It uses water to cool down and moisten the air it blows, so it works best when the air is dry, which also helped me when I had the heater on recently. It does its job quietly, which I appreciate because I like to have it running during the night also. Overall it is exactly what I expected and does what I want from it."
Positive saying,I love affirmations that are positive so every morning when I look in my mirror I get to see that
Pretty and lightweight; thin but sturdy.,"Overall I really like these planters!  Very lightweight but sturdy enough to hold decor.  Only problem I had was one of the planters was bent in at the bottom (zoom in on the bottom of left planter). Not worth returning to me, it'll add to that ""rustic"" look lol."
Amazing frother,"I love how it heats up and froths so well. I tend to use less milk with this. Non dairy creamer varies in the ability to froth-oat milk tends to froth very little, but cow/cream and nut milk froths better."
Great!!!,Great controls for an affordable price
Must have for gamers,Very easy to use and set up. I used this to connect my Nintendo switch and xbox and now I can add more things. The remote is great so you don’t have to keep clicking a button on the actual device like others.
Perfect!,Perfect!
Must get camera,"I just got into video making....I’m not disappointed one bit. This camera is AWESOME!!! The features are awesome, although I’m still learning how to use them. It has the image stabilization is on point for something that fits in a shirt pocket. I’m looking forward to getting my hands on another one to add another video angle."
Good product.,No complaints. The logo can no placed towards the back if you dislike it. But I have no complaints.
They still run small,Still a little small
Quality Case and Great Service,"Second time of ordering these for storing my valuable prescription sunglasses.  Virtually crushproof.  Just the right size, not too big but they hold my Oakley sunglasses.  Great ervice from Splaqua."
Perfect,Perfect replacement for Starbucks tumblers
We Needed More Memory than 8 gig,"We had an 8 gig SD Card that was not enough, so we ordered this 32 gig. We have had it for a couple of weeks. We turned off  the phone, took out the battery, replaced the SD card, plugged in the battery, turned on the phone. We took a pictures, used the phone. Everything seemed to work as before. I looked at the storage. There are 29.xx gigs still available on the SD. Everything seems to work well. It is nice to have some available memory on my phone again. When we find my wife's phone we will order another one."
Thanks,Good price
Awesome,It has so many zippers and it was perfect to transport our Pomeranian in to the Vets.
Very very leaky,"I love the color , it’s beautiful, but the stains and leaking it’s horrible . I washed it three times and still comes color out of it like it’s not going away . I stained the sink , bathtub , my hands and face , very messy , so for me the leaking and mess it’s not worth ."
Work great for a DIY car maintenance,These adapters work great for taking off lug nuts and various other bolts when working on the car. It is a simple device but very handy to adapt to various socket sizes. Very good for DIY car mechanic. So far I had no issues with any of the sockets that I used.
They stretch and feel good,I love the socks.  They make my legs and feet feel good.  Will buy again.
Lightweight and efficient!,"Amazing vaccum for the price! Makes getting pet hair up so easy! Turns, gets under couches, in corners. One of the best Amazon buys I’ve ever made!"
BluFire Security Alarm,I recently bought this product. Thought I liked it cause I never had an issue! I installed on my 2020 Yamaha YZF-R6 and I killed my battery. Know i have to purchase a battery for $103. Honestly isn't worth the $40 if your gonna end up having to buy a new battery.
Top shelf airbrush,Great airbrush great quality nice price highly recommend
Best radio clock,Durable! Love this radio clock!
Perfect,These are the best brushes for chalk paint!
Its the best mini aquarium pump on the market,This lil pump rocks! Its very quiet and does an excellent job �
Great Scrub Pants,"Great scrub pants. I’m an ER RN. The scrubs get a good work out for many shifts during their lifetime. ( last about 2 years)..1 wash a week. They fit really well, there’s plenty of room in them, and they’re very colorfast in the wash. They have cargo pockets on each leg, regular front pockets, and a pocket on the back for your wallet with a button on it. I love the design. It’s the only one I will buy now. Would buy them again. Thank you."
Value,Good fit and great value.
Don’t buy,There is no grey tint looks white
Works and tested as 2.4 Gbps,"Didn't see the specs anywhere on the product page (said something about 1.3 mbps..?) , but it was cheaper than other cables and the reviews said it just works, so I took the risk. The bag it came in said it was USB 3.2 gen 1 and the Oculus desktop app test results said 2.4 gbps so I'm happy."
Impressive can and you don’t have to worry about The lid smacking into your counter,"Impressive can, and you don’t have to worry about the lid smacking into your countertop as our old one did, the only downside to this can is that it is a little bit short for me, as I am a 6 foot tall person and when I reach down full extension of my arm I still have to bend down another four or 5 inches to trigger the Cans sensor and I do have a pretty long arms, so if they can was four or 5 inches taller I think it would be a little bit of an improvement. Not a fault of the can just for me it would be ideal if it was a few inches taller maybe a slightly higher base or something?"
Me encantó,Me dejo el cabello con su primera lavada súper bien y con más cabello me siento.
Universal remote control,Very helpful
Theres better out there,Dosen't hold the paper as well as other I've had
I want more! One in each color!,Well made. Great design. Fit just right.
Good  warmth & bright headlight feature,"Gave to my brother for a birthday gift and he loves it!  In addition to keeping his head thus his body warm, he really likes the headlight feature.  It's a really bright light since most of his walking is done during the evening hrs."
Made in China,A nice card attached to the $350 Woodstock Chime telling the story of how a poor musician got started making chimes. Today the tag reads “ Made in China”. Apparently he’s made so much money he couldn’t care less about making chimes anymore and offshores them to China. Sad!!!
Great prices,A+
Not a direct replacement for stock Danner insoles,these insoles are a bit thicker than the ones that came with my boots. They made my boot tight which is understandable but I didn't expect it. I also felt as though they are not as comfortable. I put them in my rubber concrete boots and they did improve the comfort of those.
They are beautiful and we love them!,We love them!
great desk mount mic stand,"Super awesome mic stand- essential for daily video calls, podcasting, etc .... what a durable and awesome looking mic stand.  If you have a great mic and need a desk stand, this is exactly what you want!"
Very good!,"Very good for my raspberry pi 0 w, the screen is awesome! clear view, just that's a little small, but the stand has great value!"
Worked wonders for my spraned ankle.,I had broken a small bone on the top of my foot when the tendon snapped up. Also tore a ligament on the side of the ankle. Was in a boot for two months and the swelling and pain continued. This stopped the severe swelling in my ankle and foot I had been having for over two months. The healing process seemed to speed up after wearing this each day. Happy I bought this.
It's all happening,"Got unit today, works perfectly. I initially used my Zone 2 out rca connectors, but not all sources routed out. Instead, I am using the headphone adapter into the 1/8th"" input. It would have been helpful if they had a 1/4"" headphone adapter but it's 2021 and I had one in my electronic archives. (we all have those boxes don't we?). Anyway, latency and quality was similar with HD or LL switch so not sure what the big deal is with that - sounds great. Good headroom, and can use volume on receiver to set level. Watched 30 min of Almost Famous and it never cut out. I got them so I could use the treadmill and watch movies without blasting the house away. perfect."
Quality,"Fits great, comfortable and definitely a great value for the money! I ordered two more pair and will continue to order in the future."
Worth the money,"Fits well, overall a great accessory"
Finally—organized batteries,"The ZesGood-battery box finally offered me a means of organizing our household batteries. The case easily stands on our shelf. Inside the case are multiple foam spots for inserting batteries of various sizes. Because we had so many AA batteries, we could even use the AAA spots to insert the AA’s.  The foam design is the key to making this battery organizer genius. I also like the zip pocket on the inside cover that allows me to store the battery tester (comes with bag) along with a plethora of flat, button types of batteries."
Perfect toddler water bottle,"Easy to use and clean, very durable and keeps ice almost all day. My toddler loves it so much we had to buy a second!"
Great for after surgery patients!,My wife had a knee replacement and this raised seat made it so much easier for her. You can only bend so far after that surgery and with the raised seat she sit down with little pain! I would recommend this seat! Very easy to install!
Never going back to other soap products!,First time trying this body wash and I AM IN LOVE! Smells good and it's thick and creamy so it goes a long way in the shower! Also does NOT leave a weird residue on your skin like some other soaps/bodywashes do.  :) :) :)
Excellent Sea Salt Packaged in Convenient Cardboard Containers,"The Morton All Purpose Sea Salt is a good quality salt to season all your favorite dishes with.  The salt is pretty much preground sea salt with no iodide.  It’s flavor is sound, the ground is fairly uniform, and the container is perfect for bringing to picnics and family gatherings as it’s disposable.  If you absolutely hate the look of the container, it’s easy enough to pour the salt into a prettier dispenser using the large opening at the top of the container, and each 4.4 ounce container is about the right size for fill most salt dispensers.  With 12 containers of salt per pack, you’ll have plenty of salt to season all your entrees."
Great Buy,Hats are cute.  Big variety and colors.  Easy to wear.
Portable USB,Great light!
Good Deal,Great for short or long runs. Helps with muscle discomfort and warmth when it’s cold
Works just fine,It works like expected
Buy This Coat!,Ordered this jacket in 2 colors and I LOVE them!
"Great value, recommend",Quick ship. As described. Value for money. Installation was tricky but used a youtube tutorial. Took 2 people and about 1 hour.
Fun in the sun,"This is a great set for kids to take to the beach. I bought one for my son and daughter. They really liked playing with them. The only thing I wish they would’ve done when making it would be to make the top lock into place to secure the toys, not a deal breaker though."
